Month,Date,Day,Sales
May,5/21/20,Wednesday,-335.91
May,5/22/20,Thursday,5204.29
May,5/23/20,Friday,2204.12
May,5/24/20,Saturday,9327.23
May,5/25/20,Sunday,6474.30
May,5/26/20,Monday,9515.89
May,5/27/20,Tuesday,8057.21
May,5/28/20,Wednesday,5866.90
May,5/29/20,Thursday,5107.66
May,5/30/20,Friday,4049.31
May,5/31/20,Saturday,7707.50
June,6/1/20,Sunday,6193.61
June,6/2/20,Monday,6690.57
June,6/3/20,Tuesday,3345.29
June,6/4/20,Wednesday,3317.68
June,6/5/20,Thursday,6175.20
June,6/6/20,Friday,5057.04
June,6/7/20,Saturday,5020.23
June,6/8/20,Sunday,11250.65
June,6/9/20,Monday,8365.51
June,6/10/20,Tuesday,6046.36
June,6/11/20,Wednesday,4247.18
June,6/12/20,Thursday,6322.45
June,6/13/20,Friday,4288.59
June,6/14/20,Saturday,6662.96
June,6/15/20,Sunday,9249.00
June,6/16/20,Monday,9147.77
June,6/17/20,Tuesday,6598.54
June,6/18/20,Wednesday,2075.27
June,6/19/20,Thursday,5986.54
June,6/20/20,Friday,6980.46
June,6/21/20,Saturday,4905.19
June,6/22/20,Sunday,8222.87
June,6/23/20,Monday,6621.55
June,6/24/20,Tuesday,9948.43
June,6/25/20,Wednesday,4210.37
June,6/26/20,Thursday,5259.51
June,6/27/20,Friday,4302.40
June,6/28/20,Saturday,11121.81
June,6/29/20,Sunday,11669.39
June,6/30/20,Monday,13486.98
July,7/1/20,Tuesday,11154.02
July,7/2/20,Wednesday,4882.18
July,7/3/20,Thursday,4320.80
July,7/4/20,Friday,8038.81
July,7/5/20,Saturday,8236.67
July,7/6/20,Sunday,6704.38
July,7/7/20,Monday,6428.29
July,7/8/20,Tuesday,8830.27
July,7/9/20,Wednesday,5369.94
July,7/10/20,Thursday,3994.10
July,7/11/20,Friday,7541.85
July,7/12/20,Saturday,3423.51
July,7/13/20,Sunday,9985.24
July,7/14/20,Monday,5687.45
July,7/15/20,Tuesday,10804.31
July,7/16/20,Wednesday,1605.92
July,7/17/20,Thursday,4569.28
July,7/18/20,Friday,7762.72
July,7/19/20,Saturday,4688.92
July,7/20/20,Sunday,7845.55
July,7/21/20,Monday,6212.02
July,7/22/20,Tuesday,7242.75
July,7/23/20,Wednesday,2392.78
July,7/24/20,Thursday,5784.08
July,7/25/20,Friday,2521.62
July,7/26/20,Saturday,5369.94
July,7/27/20,Sunday,5678.24
July,7/28/20,Monday,7339.38
July,7/29/20,Tuesday,9382.44
July,7/30/20,Wednesday,3377.50
